id	HSK_level	URL	Title_EN	Title_ZH	Description	Content
7062	1	https://hskreading.com/have-time-to-play/	Do you have time to play?	你有空吗？	Learn how to ask if someone has time, or if someone is busy. Great for making plans.	小明：小红，你最近忙不忙？ 小红：和平时一样，不怎么忙，怎么了？ 小明：我最近开始喜欢打乒乓球，想找你一起打。 小红：周六下午我有空，但还不会打乒乓球。 小明：没关系，我可以教你。
7052	2	https://hskreading.com/why-are-you-late/	Why are you late?	你怎么迟到了？	Poor Xiaoming is late to work, but why?	老板：小明，你今天怎么迟到了半个小时？小明：老板，对不起，今天雨下得太大，堵车了。老板：下雨的时候要早点出门，知道了吗？下次不要再这样了。小明：好的老板，我知道了。
6987	1	https://hskreading.com/what-does-your-father-do/	What does your father do?	你爸爸是干什么的？	This Mandarin dialogue contains key sentence structures that you will hear repeatedly in Chinese conversations.	小明：我爸爸昨天才回到家，他从新加坡给我带了礼物。小红：为什么你爸爸前几天不在家？小明：因为他出差了。小红：你爸爸是干什么的？小明：他是一个公司的经理，经常不在家。
6988	2	https://hskreading.com/what-does-your-mother-do/	What does your mother do?	你妈妈在哪里工作？	This Chinese dialogue has lots of useful sentences to be learnt! It’s a fairly informal conversation.	小明：小红，你妈妈做菜可真好吃。小红：是啊，我妈妈是厨师。小明：真的吗？你妈妈在哪里工作？小红：她在一个西餐厅工作，她做的牛排特别好吃。小明：那个西餐厅在哪？我想和女朋友一起去吃。小红：就在市中心。
6963	2	https://hskreading.com/home-for-a-week/	Home for a week	回家一星期	Continuing from the HSK 1 dialogue: this is what happens after staying home for a week. The dialogue concludes at HSK 3 level. The conversation has an informal tone.	妈妈：八点钟了，该起床吃早餐了！我：妈妈，才八点，还很早，我再睡一会儿。妈妈：已经不早了，吃完早餐再睡吧。我：好的。吃完早餐后妈妈：你的房间太脏了，该扫地了，不要睡了。每天都出去跟朋友玩，也不在家陪陪我们。我：那好吧。
6962	1	https://hskreading.com/home-for-a-day/	Home for a day	回家第一天	A Chinese dialogue about heading home for a day. The dialogue continues at HSK 2 and HSK 3 level. The conversation has an informal tone.	妈妈：你回来了，我好想你！真开心啊。我：是啊妈妈，我也很想你。妈妈：你想吃什么？我去给你做饭。我：都可以，妈妈做的我都爱吃。妈妈，房间脏了，我扫一下地。妈妈：你刚回家，太累了，不用扫地，快去休息吧。
6955	1	https://hskreading.com/what-job-do-you-want/	What job do you want?	工作	A HSK 1 Mandarin dialogue discussing what you want to become once you are older.	小明：你以后想干什么？小红：老师，我喜欢小孩儿，你呢？小明：我想当画家，可是我的妈妈不同意。小红：为什么她不同意？小明：她说当画家没钱，她希望我当商人。
6938	2	https://hskreading.com/is-being-a-teacher-good/	Is being a teacher good?	当老师好吗？	This Chinese dialogue is quite informal.	小明：你觉得当老师好吗？小红：很好，老师可以跟小孩玩。小明：我觉得当老师不太好。小红：为什么？小明：因为当老师要讲课，还要改作业，很累，所以我觉得当老师不太好。小红：话是这么说，我还是喜欢当老师。
6931	2	https://hskreading.com/wechat-is-popular/	WeChat is very popular	微信	An article about WeChat and its prevalence in Chinese society. In WeChat terminology: stickers are gifs that can be sent in conversations to convey emotions.	微信是中国最流行的软件，差不多每个年轻人都有微信。大家用微信来聊天，谈工作，点外卖等等。用微信聊天的时候，年轻人会用表情包，特别好玩。微信还可以发“朋友圈”，让朋友了解你的生活；还可以用微信来给钱。
6926	1	https://hskreading.com/baidu/	Baidu	百度	A short Chinese article about Baidu. It is China’s most popular search engine.	“百度”是中国人最经常用的软件。百度，和谷歌差不多，可以用来提问，找图片，找视频等等。我们常常说“百度一下，你就知道”，意思是，你有什么不懂的，在百度上都可以找到答案。
6644	2	https://hskreading.com/the-tortoise-and-the-hare/	The Tortoise and the Hare	龟兔赛跑	A beginner’s version of the Tortoise (乌龟) and the Hare (兔子).	兔子和乌龟在夏天比赛跑步。兔子跑得很快，她看见乌龟还在慢慢地走，就先在树下睡觉了。乌龟虽然走得很慢，但是他没有停下，一直走。兔子睡醒的时候，乌龟已经赢了。这个故事告诉我们不要放弃，坚持就会有结果。
6637	2	https://hskreading.com/dumplings/	Dumplings	饺子	Dumplings (饺子) are staple food in China.	饺子是中国最重要的食物。中国人常常吃饺子，早饭、午饭或者晚饭；也会在重要的节日吃饺子，比如春节。饺子的皮是用面粉做的，里面包着不同的食物，肉、菜什么的，很好吃。
6602	2	https://hskreading.com/come-and-see-china/	Come and see China!	来中国玩吧	China has lots of places to visit; from the cold Harbin (哈尔滨) to the sunny Hainan Islands (海南岛).	中国有很多好玩的地方。如果你喜欢冬天，可以去哈尔滨，它在中国的最北边，冬天会下雪，可以去“冰雪大世界”玩儿。如果你喜欢夏天，可以去海南岛，它在中国的最南边，有大海、沙滩和热情的人们。
