level	char_map	pos_map
1	['.{1,7}', '不', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
1	['.{1,7}', '多', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
1	['.{1,7}', '不太', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(Ag|a|ad|an)']
1	['.{1,7}', '不太', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
1	['.{1,7}', '.{1,7}', '岁']	['(n|nr|ns|nz|r|s|d|vn|an)', 'm', '.{1,3}']
1	['.{1,7}', '.{1,7}', '岁', '半']	['(n|nr|ns|nz|r|s|d|vn|an)', 'm', '.{1,3}', '.{1,3}']
1	['.{1,7}', '个', '.{1,7}']	['m', '.{1,3}', 'n']
1	['.{1,7}', '个', '.{1,7}']	['v', '.{1,3}', 'n']
1	['.{1,7}', '.{1,7}', '了']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}']
1	['(来|去)', '.{1,7}']	['.{1,3}', '(s|ns)']
1	['.{1,7}', '在', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '(s|ns)']
1	['请', '.{1,7}']	['.{1,3}', 'v']
1	['.{1,7}', '去', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
1	['.{1,7}', '(没有|没)', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
1	['太', '.{1,7}', '了']	['.{1,3}', '(Ag|a|ad|an)', '.{1,3}']
1	['.{1,7}', '很', '.{1,7}']	['n', '.{1,3}', '(Ag|a|ad|an)']
1	['一些', '.{1,7}']	['.{1,3}', 'n']
1	['.{1,7}', '多少钱']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
1	['.{1,7}', '块', '.{1,7}', '毛']	['m', '.{1,3}', 'm', '.{1,3}']
1	['.{1,7}', '怎么样']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}']
1	['.{1,7}', '.{1,7}', '(哪里|哪儿)']	['(n|nr|ns|nz|r|s|d|vn|an)', 'v', '.{1,3}']
1	['.{1,7}', '是', '谁']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', '.{1,3}']
1	['.{1,7}', '不', '.{1,7}']	['(n|nr|ns|nz|r|s|d|vn|an)', '.{1,3}', 'v']
1	['不', '.{1,7}']	['.{1,3}', '(Ag|a|ad|an)']
2	['就是', '.{1,7}']	['.{1,3}', 'n']
